StrategicIssues,project_name,PriorityOrder,Sub-activities,Strategy,ProjectIndicators,ImplementingAgency,AlignmentwithThailandVision,Budget
ประเด็นยุทธศาสตร์ที่ 3 : พัฒนาแหล่งท่องเที่ยว จัดกิจกรรมการท่องเที่ยวและการตลาดเพื่อสร้างอาชีพและรายได้ให้กับประชาชนในพื้นที่,ติดตั้งไฟส่องสว่างแสงอาทิตย์ในแหล่งท่องเที่ยวเชิงวัฒนธรรมริมน้ำเจ้าพระยา,48.0,"1. ประชาสัมพันธ์เชิญชวนกลุ่มเป้าหมาย ได้แก่ พระ ผู้นําชุมชน และประชาชนทั่วไปเพื่อเข้าร่วมโครงการ
2. จัดอบรมสัมมนา 2 ครั้งๆ รวม 100คน ให้กับชุมชนในพื้นที่ และเจ้าหน้าที่หน่วยงานราชการ เพื่อสร้างรูปแบบหรือวิธีพัฒนา โดยสนับสนุนให้ทําโครงการวิจัยประเด็นด้านพลังงานสะอาดในพื้นที่ และได้เรียนรู้สถานการณ์ด้านพลังงานและนําความรู้ความเข้าใจที่ได้รับไปปรับใช้ให้เหมาะสมในพื้นที่
3. ทําการติดตั้งอุปกรณ์เทคโนโลยีพลังงานแสงอาทิตย์
4. ติดตามประเมินผลหลังการเสร็จสิ้นโครงการ",กลยุทธ์ที่ 1 พัฒนาแหล่งท่องเที่ยวที่สําคัญ,การติดตั้งไฟส่องสว่างในแหล่งท่องเที่ยว จํานวน 5 แห่ง,สํานักงานท่องเที่ยวและกีฬาจังหวัดปทุมธานี,2.2 การพัฒนาการท่องเที่ยวและการบริการ,2025400.0
ประเด็นยุทธศาสตร์ที่ 3 : พัฒนาแหล่งท่องเที่ยว จัดกิจกรรมการท่องเที่ยวและการตลาดเพื่อสร้างอาชีพและรายได้ให้กับประชาชนในพื้นที่,คาราวานเส้นทางท่องเที่ยว จ.ปทุมธานีเชื่อมโยงจังหวัดใกล้เคียง,49.0,กิจกรรมคาราวานเส้นทางท่องเที่ยวจังหวัดปทุมธานีเชื่อมโยงจังหวัดใกล้เคียง,"กลยุทธ์ที่ 1 พัฒนาแหล่งท่องเที่ยวที่สําคัญ 
กลยุทธ์ที่ 3 ส่งเสริมการท่องเที่ยวจังหวัดปทุมธานี",1) จํานวนนักท่องเที่ยวเพิ่มขึ้นมากกว่าร้อยละ 52) รายได้จากการท่องเที่ยวเพิ่มขึ้นมากกว่าร้อยละ 5,สํานักงานท่องเที่ยวและกีฬาจังหวัดปทุมธานี,2.2 การพัฒนาการท่องเที่ยวและการบริการ,4000000.0
ประเด็นยุทธศาสตร์ที่ 3 : พัฒนาแหล่งท่องเที่ยว จัดกิจกรรมการท่องเที่ยวและการตลาดเพื่อสร้างอาชีพและรายได้ให้กับประชาชนในพื้นที่,พัฒนาแหล่งท่องเที่ยวเชิงอนุรักษ์ตลาดน้ำบ้านกระแชง,19.0,"1) จัดประชุมรับฟังความคิดเห็นและการมีส่วนร่วมของประชาชนใน อบต. บ้านกระแชง เพื่อกําหนดรูปแบบและแนวทางการจัดกิจกรรม
2) ประสานงานกับสภาอุตสาหกรรมท่องเที่ยวจังหวัด สํานักงานการท่องเที่ยวและกีฬาจังหวัด ร่วมจัดทําแผนงาน/โครงการ
3) เสนอโครงการเพื่อขอรับการสนับสนุนงบประมาณ
4) ประชาสัมพันธ์การจัดกิจกรรม
5) ดําเนินโครงการและการจัดกิจกรรม
- สร้างอาคารอเนกประสงค์ ร้านค้าสําหรับจําหน่ายสินค้า อาหาร พืชผลทางการเกษตร ฯลฯ
- ปรับปรุงภูมิทัศน์ ปลูกไม้ดอก ไม้ประดับ
- ปรับปรุงห้องน้ำ ให้สามารถรองรับผู้พิการหรือผู้สูงอายุได้
-ป้ายบอกทางเข้าโครงการ จํานวน 2 ป้าย
-ปรับปรุงโป๊ะ ท่าเทียบเรือบริเวณหน้าวัด ริมฝั่งแม่น้ำเจ้าพระยา ให้มีมาตรฐานด้าน ความปลอดภัย
-ประชุม แต่งตั้งคณะกรรมการ สรรหา ผู้ประกอบการในตลาดน้ำและแนวทางการ บริหารจัดการ เพื่อประสิทธิภาพและ ประสิทธิผลในการทํางาน
-จัดกิจกรรมวันเปิดตลาดน้ำ อาทิ เช่น มหกรรมแข่งขันตกกุ้งแม่น้ำ สาธิตการ ประกอบอาหารคาวหวานจากพืชผัก ผลไม้ ในท้องถิ่น การแสดงวิถีชีวิตชาวมอญย้อนยุค ฯลฯ
-จัดโครงการอบรม""ภาคีเครือข่ายด้าน ความปลอดภัยทางน้ำ""ให้กับนักท่องเที่ยว
-จัดโครงการอบรมบุคลากรท้องถิ่นด้าน ""ท่องเที่ยวเชิงอนุรักษ์ซึ่งเป็นการท่องเที่ยว ที่คํานึงถึงความยั่งยืนของสิ่งแวดล้อม สังคม และวัฒนธรรม","กลยุทธ์ที่ 1 พัฒนาแหล่งท่องเที่ยวที่สําคัญ 
กลยุทธ์ที่ 2 ส่งเสริมให้เกิดการสร้างมูลค่าเพิ่มในแหล่งท่องเที่ยวและธุรกิจที่เกี่ยวข้อง 
กลยุทธ์ที่ 3 ส่งเสริมการท่องเที่ยวจังหวัดปทุมธานี 
กลยุทธ์ที่ 4 ส่งเสริมกิจกรรมการท่องเที่ยวตามประเพณี",1) ประชาชนมีรายได้จากการจําหน่ายสินค้าเพิ่มขึ้น,สํานักงานท่องเที่ยวและกีฬาจังหวัดปทุมธานี,2.2 การพัฒนาการท่องเที่ยวและการบริการ,5000000.0
ประเด็นยุทธศาสตร์ที่ 3 : พัฒนาแหล่งท่องเที่ยว จัดกิจกรรมการท่องเที่ยวและการตลาดเพื่อสร้างอาชีพและรายได้ให้กับประชาชนในพื้นที่,"จัดมหกรรมลดราคาสินค้าโมเดินเทรด ""PathumthaniGrand""",50.0,จัดกิจกรรมงานมหกรรมลดราคาสินค้าจํานวน 2 ครั้ง ครั้งละ 200 บูธ โดยนําสินค้าจากโรงงานอุตสาหกรรม และสินค้าจากแหล่งท่องเที่ยวที่เกี่ยวข้อง,"กลยุทธ์ที่ 2 ส่งเสริมให้เกิดการสร้างมูลค่าเพิ่มในแหล่งท่องเที่ยวและธุรกิจที่เกี่ยวข้อง 
กลยุทธ์ที่ 3 ส่งเสริมการท่องเที่ยวจังหวัดปทุมธานี",1) จํานวนการจัดกิจกรรมงานมหกรรมลดราคาสินค้าจํานวน 2 ครั้ง,สํานักงานท่องเที่ยวและกีฬาจังหวัดปทุมธานี,2.2 การพัฒนาการท่องเที่ยวและการบริการ,10000000.0
ประเด็นยุทธศาสตร์ที่ 3 : พัฒนาแหล่งท่องเที่ยว จัดกิจกรรมการท่องเที่ยวและการตลาดเพื่อสร้างอาชีพและรายได้ให้กับประชาชนในพื้นที่,อบรมมัคคุเทศก์เฉพาะพื้นที่ จ.ปทุมธานี,20.0,อบรมมัคคุเทศก์เฉพาะพื้นที่จังหวัดปทุมธานี,"กลยุทธ์ที่ 2 ส่งเสริมให้เกิดการสร้างมูลค่าเพิ่มในแหล่งท่องเที่ยวและธุรกิจที่เกี่ยวข้อง 
กลยุทธ์ที่ 3 ส่งเสริมการท่องเที่ยวจังหวัดปทุมธานี",1) จํานวนนักท่องเที่ยวเพิ่มขึ้นมากกว่าร้อยละ 52) รายได้จากการท่องเที่ยวเพิ่มขึ้นมากกว่าร้อยละ 5,สํานักงานท่องเที่ยวและกีฬาจังหวัดปทุมธานี,2.2 การพัฒนาการท่องเที่ยวและการบริการ,2500000.0
ประเด็นยุทธศาสตร์ที่ 3 : พัฒนาแหล่งท่องเที่ยว จัดกิจกรรมการท่องเที่ยวและการตลาดเพื่อสร้างอาชีพและรายได้ให้กับประชาชนในพื้นที่,โครงการส่งเสริมการพัฒนาผลิตภัณฑ์สู่ประชาคมอาเซียน,31.0,"1) จ้างเหมาวิจัยเพื่อพัฒนาผลิตภัณฑ์OTOP จํานวน 20 ผลิตภัณฑ์ๆ ละ50,000 บาท
2) อบรมพัฒนาศักยภาพผู้ประกอบการและพัฒนาบรรจุภัณฑ์/Story of Product ฯลฯ แก่ผู้ประกอบการ จํานวน 20 ราย (20 ผลิตภัณฑ์) รายละ 30,000 บาท",กลยุทธ์ที่ 2 ส่งเสริมให้เกิดการสร้างมูลค่าเพิ่มในแหล่งท่องเที่ยวและธุรกิจที่เกี่ยวข้อง,1) ผู้ผลิต ผู้ประกอบการมีรายได้จากการจําหน่ายสินค้าเพิ่มขึ้นไม่น้อยกว่าร้อยละ 10 2) ผู้ผลิตผู้ประกอบการสามารถบริหารจัดการด้านการตลาดเพิ่มช่องทางการจําหน่ายได้อย่างน้อย 2 ช่องทาง,สำนักงานพัฒนาชุมชนจังหวัดปทุมธานี,2.2 การพัฒนาการท่องเที่ยวและการบริการ,1600000.0
ประเด็นยุทธศาสตร์ที่ 3 : พัฒนาแหล่งท่องเที่ยว จัดกิจกรรมการท่องเที่ยวและการตลาดเพื่อสร้างอาชีพและรายได้ให้กับประชาชนในพื้นที่,โครงการส่งเสริมผลิตภัณฑ์ชุมชนและSMEs,52.0,"1) จ้างเหมาวิจัยเพื่อพัฒนาผลิตภัณฑ์OTOP จํานวน 20 ผลิตภัณฑ์ๆ ละ50,000 บาท
2) การฝึกอบรมพัฒนาทักษะผู้ประกอบการให้สามารถพัฒนาต่อยอดผลิตภัณฑ์ของชุมชนหรือ SMEs ได้",กลยุทธ์ที่ 2 ส่งเสริมให้เกิดการสร้างมูลค่าเพิ่มในแหล่งท่องเที่ยวและธุรกิจที่เกี่ยวข้อง,1) ผู้ผลิต ผู้ประกอบการมีรายได้จากการจําหน่ายสินค้าเพิ่มขึ้นไม่น้อยกว่าร้อยละ 10 2) ผู้ผลิตผู้ประกอบการสามารถบริหารจัดการด้านการตลาดเพิ่มช่องทางการจําหน่ายได้อย่างน้อย 2 ช่องทาง,สำนักงานพัฒนาชุมชนจังหวัดปทุมธานี,2.2 การพัฒนาการท่องเที่ยวและการบริการ,2000000.0
ประเด็นยุทธศาสตร์ที่ 3 : พัฒนาแหล่งท่องเที่ยว จัดกิจกรรมการท่องเที่ยวและการตลาดเพื่อสร้างอาชีพและรายได้ให้กับประชาชนในพื้นที่,โครงการส่งเสริมการจําหน่ายสินค้าOTOP เชื่อมโยงแหล่งท่องเที่ยวชุมชน,21.0,1) จัดงานแสดงสินค้า OTOP,กลยุทธ์ที่ 2 ส่งเสริมให้เกิดการสร้างมูลค่าเพิ่มในแหล่งท่องเที่ยวและธุรกิจที่เกี่ยวข้อง,1) ผู้ผลิต ผู้ประกอบการมีรายได้จากการจําหน่ายสินค้าเพิ่มขึ้นไม่น้อยกว่าร้อยละ 10,สำนักงานพัฒนาชุมชนจังหวัดปทุมธานี,2.2 การพัฒนาการท่องเที่ยวและการบริการ,2000000.0
ประเด็นยุทธศาสตร์ที่ 3 : พัฒนาแหล่งท่องเที่ยว จัดกิจกรรมการท่องเที่ยวและการตลาดเพื่อสร้างอาชีพและรายได้ให้กับประชาชนในพื้นที่,เสริมสร้างความปลอดภัยแก่นักท่องเที่ยวในการใช้บริการรถโดยสารไม่ประจําทาง,53.0,"1) จัดทํา/จัดซื้อระบบการให้บริการ ระบบตรวจสอบและระบบติดตามการให้บริการรถโดยสาร ไม่ประจําทาง รถโดยสารประจําทาง และรถโดยสารสาธารณะทุกประเภท
2) ปรับปรุงห้องประชุม/อบรม และห้องที่ใช้ติดตั้งระบบการให้บริการ ระบบตรวจสอบและระบบติดตามการให้บริการรถโดยสาร ไม่ประจําทาง รถโดยสารประจําทาง และรถโดยสารสาธารณะทุกประเภท
3) จัดประชุม/อบรมส่งเสริม และให้ความรู้ด้านกฎ ระเบียบ การพัฒนาการให้บริการเพิ่มจิตสํานึกด้านความปลอดภัย และเพิ่มพูนความรู้ด้านภาษาต่างประเทศ เช่น ภาษาอังกฤษ ภาษาจีน เป็นต้น แก่เจ้าหน้าที่ผู้ประกอบการขนส่ง บริการและผู้ขับรถ
4) ตรวจ ติดตาม ประเมินผล เพื่อให้บรรลุวัตถุประสงค์ตามเป้าหมายที่กําหนด รวมค่าวัสดุสํานักงาน ค่าน้ำมันเชื้อเพลิง และค่าใช้สอยอื่นๆ",กลยุทธ์ที่ 2 ส่งเสริมให้เกิดการสร้างมูลค่าเพิ่มในแหล่งท่องเที่ยวและธุรกิจที่เกี่ยวข้อง,1) นักท่องเที่ยวทั้งชาวไทยและขาวต่างประเทศเดินทางมาท่องเที่ยวในจังหวัดปทุมธานีเพิ่มมากขึ้น2) รถโดยสารไม่ประจําทางในเขตท้องที่จังหวัดปทุมมีการพัฒนาและปฏิบัติถูกต้องตามระเบียบเพิ่มขึ้น3) จํานวนรถโดยสารไม่ประจําทางรถและผู้ประจํารถที่ฝ่าฝืนพระราชบัญญัติการขนส่งทางบก พ.ศ.2522 และพระราชบัญญัติรถยนต์ พ.ศ. 2522 ในเขตท้องที่จังหวัดปทุมธานีมีจํานวนลดลง4) จํานวนรถโดยสารไม่ประจําทางในเขตท้องที่จังหวัดปทุมธานีเกิดอุบัติเหตุลดดลง,สำนักงานขนส่งจังหวัดปทุมธานี,2.2 การพัฒนาการท่องเที่ยวและการบริการ,5000000.0
ประเด็นยุทธศาสตร์ที่ 3 : พัฒนาแหล่งท่องเที่ยว จัดกิจกรรมการท่องเที่ยวและการตลาดเพื่อสร้างอาชีพและรายได้ให้กับประชาชนในพื้นที่,สร้างมูลค่าเพิ่มจากภูมิปัญญาท้องถิ่นเพื่อการท่องเที่ยวจังหวัดปทุมธานี,32.0,"1. มีข้อมูลภูมิปัญญาที่ผ่านการวิเคราะห์และจัดทําเป็นองค์ความรู้ ไม่ต่ํากว่า 3 ด้าน 3 รายการ
2. มีผลิตภัณฑ์ที่ได้รับการพัฒนาต่อยอดไม่ต่ํากว่า 1 ด้าน
3. จัดกิจกรรมเปิดพื้นที่ในการสร้างมูลค่าเพิ่มให้กับภูมิปัญญาท้องถิ่น และต่อยอดผลิตภัณฑ์ รวมทั้งถ่ายทอดภูมิปัญญาอย่างน้อย 1 ครั้ง",กลยุทธ์ที่ 2 ส่งเสริมให้เกิดการสร้างมูลค่าเพิ่มในแหล่งท่องเที่ยวและธุรกิจที่เกี่ยวข้อง,1. มีข้อมูลภูมิปัญญาที่ผ่านการวิเคราะห์และจัดทําเป็นองค์ความรู้ ไม่ต่ํากว่า 3ด้าน3 รายการ2. มีผลิตภัณฑ์ที่ได้รับการพัฒนาต่อยอด ไม่ต่ํากว่า 1 ด้าน3. จัดกิจกรรมเปิดพื้นที่ในการสร้างมูลค่าเพิ่มให้กับภูมิปัญญาท้องถิ่น และต่อยอดผลิตภัณฑ์รวมทั้งถ่ายทอดภูมิปัญญา อย่างน้อย 1 ครั้ง,สำนักงานวัฒนธรรมจังหวัดปทุมธานี,2.2 การพัฒนาการท่องเที่ยวและการบริการ,2000000.0
ประเด็นยุทธศาสตร์ที่ 3 : พัฒนาแหล่งท่องเที่ยว จัดกิจกรรมการท่องเที่ยวและการตลาดเพื่อสร้างอาชีพและรายได้ให้กับประชาชนในพื้นที่,เพิ่มศักยภาพการรักษาความปลอดภัยทางน้ำ เพื่อสร้างความมั่นใจให้นักท่องเที่ยว,5.0,"1. จัดซื้อ/จัดจ้าง เครื่องมือ อุปกรณ์ช่วยเหลือผู้ประสบภัยทางน้ำ
2. ประสานหน่วยงานเครือข่าย เข้าร่วมการฝึกอบรม
3. ดําเนินการฝึกอบรม
4. ประเมินผลโครงการฝึกอบรม",กลยุทธ์ที่ 3 ส่งเสริมการท่องเที่ยวจังหวัดปทุมธานี,นักท่องเที่ยวมีความมั่นใจในความปลอดภัย และเจ้าหน้าที่ที่เกี่ยวข้อง มีความรู้ ความสามารถ และมีอุปกรณ์ ในการช่วยเหลือผู้ประสบภัยทางน้ำที่มีมาตรฐาน,สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัดปทุมธานี,2.2 การพัฒนาการท่องเที่ยวและการบริการ,10000000.0
